gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401192,4/13/2025 13:00,Milwaukee,Bucks,1610612749,Detroit,Pistons,1610612765,140,133,1610612749,Regular Season,17796,642,,,
22401185,4/11/2025 22:30,Los Angeles,Lakers,1610612747,Houston,Rockets,1610612745,140,109,1610612747,Regular Season,18997,1000069,,,
22401182,4/11/2025 22:00,Phoenix,Suns,1610612756,San Antonio,Spurs,1610612759,117,98,1610612756,Regular Season,17071,1000145,,,
22401183,4/11/2025 22:00,Portland,Trail Blazers,1610612757,Golden State,Warriors,1610612744,86,103,1610612744,Regular Season,19335,51,,,
22401184,4/11/2025 22:00,Sacramento,Kings,1610612758,Los Angeles,Clippers,1610612746,100,101,1610612746,Regular Season,16435,609,,,
22401181,4/11/2025 21:30,Utah,Jazz,1610612762,Oklahoma City,Thunder,1610612760,111,145,1610612760,Regular Season,18175,1000106,,,
22401179,4/11/2025 21:00,Minnesota,Timberwolves,1610612750,Brooklyn,Nets,1610612751,117,91,1610612750,Regular Season,18978,61,,,
22401180,4/11/2025 21:00,Denver,Nuggets,1610612743,Memphis,Grizzlies,1610612763,117,109,1610612743,Regular Season,20015,1000046,,,
22401178,4/11/2025 20:30,Dallas,Mavericks,1610612742,Toronto,Raptors,1610612761,124,102,1610612742,Regular Season,20177,193,,,
22401176,4/11/2025 20:00,Chicago,Bulls,1610612741,Washington,Wizards,1610612764,119,89,1610612741,Regular Season,21400,66,,,
22401177,4/11/2025 20:00,New Orleans,Pelicans,1610612740,Miami,Heat,1610612748,104,153,1610612748,Regular Season,17087,160,,,
22401174,4/11/2025 19:30,Boston,Celtics,1610612738,Charlotte,Hornets,1610612766,130,94,1610612738,Regular Season,19156,17,,,
22401175,4/11/2025 19:30,New York,Knicks,1610612752,Cleveland,Cavaliers,1610612739,102,108,1610612739,Regular Season,19812,30,,,
22401171,4/11/2025 19:00,Detroit,Pistons,1610612765,Milwaukee,Bucks,1610612749,119,125,1610612749,Regular Season,20062,624,,,
22401172,4/11/2025 19:00,Indiana,Pacers,1610612754,Orlando,Magic,1610612753,115,129,1610612753,Regular Season,17010,1000063,,,
22401173,4/11/2025 19:00,Philadelphia,76ers,1610612755,Atlanta,Hawks,1610612737,110,124,1610612737,Regular Season,19752,419,,,
22401170,4/10/2025 21:30,Memphis,Grizzlies,1610612763,Minnesota,Timberwolves,1610612750,125,141,1610612750,Regular Season,17007,242,,,
22401161,4/10/2025 20:00,Milwaukee,Bucks,1610612749,New Orleans,Pelicans,1610612740,136,111,1610612749,Regular Season,17341,642,,,
22401169,4/10/2025 19:30,Brooklyn,Nets,1610612751,Atlanta,Hawks,1610612737,109,133,1610612737,Regular Season,17926,461,,,
22401167,4/10/2025 19:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,115,106,1610612765,Regular Season,20062,624,,,
22401168,4/10/2025 19:00,Indiana,Pacers,1610612754,Cleveland,Cavaliers,1610612739,114,112,1610612754,Regular Season,17020,1000063,,,
22401166,4/9/2025 22:30,Los Angeles,Clippers,1610612746,Houston,Rockets,1610612745,134,117,1610612746,Regular Season,17927,1000137,,,
